,Date,Team 1 ID,Team 2 ID,winner
17401,2016-07,4674,4559,4674
17757,2016-07,5752,6736,5752
17733,2016-07,6736,5005,6736
17732,2016-07,6736,5005,6736
17721,2016-07,5752,6792,5752
17720,2016-07,5752,6792,5752
17719,2016-07,4494,6667,4494
17718,2016-07,4494,6667,4494
17717,2016-07,4494,6667,6667
17679,2016-07,6211,5378,5378
17758,2016-07,5752,6736,5752
17678,2016-07,6211,5378,5378
17668,2016-07,5995,4494,5995
17667,2016-07,5995,4494,4494
17666,2016-07,6667,5974,6667
17665,2016-07,6667,5974,5974
17664,2016-07,6667,5974,6667
17642,2016-07,6211,5988,6211
17641,2016-07,6211,5988,6211
17640,2016-07,6651,5378,5378
17639,2016-07,6651,5378,5378
17669,2016-07,5995,4494,4494
17793,2016-07,5996,5752,5752
17794,2016-07,5996,5752,5752
17867,2016-07,4608,5752,5752
18141,2016-07,4494,5378,5378
18140,2016-07,4494,5378,5378
18131,2016-07,4991,5378,5378
18130,2016-07,4991,5378,5378
18116,2016-07,4991,4608,4991
18115,2016-07,4991,4608,4991
18041,2016-07,6902,6896,6902
18040,2016-07,6902,6896,6902
18026,2016-07,6902,6134,6134
18025,2016-07,6902,6134,6134
18024,2016-07,6902,6134,6902
17980,2016-07,6902,5395,6902
17979,2016-07,6902,5395,6902
17978,2016-07,6902,5395,5395
17925,2016-07,5378,4411,5378
17924,2016-07,5378,4411,5378
17905,2016-07,6665,4494,4494
17904,2016-07,6665,4494,4494
17870,2016-07,5991,4991,4991
17869,2016-07,5991,4991,4991
17868,2016-07,4608,5752,4608
17606,2016-07,4674,6896,6896
17605,2016-07,4674,6896,6896
17866,2016-07,4608,5752,4608
17592,2016-07,6137,5973,6137
17508,2016-07,5995,4991,4991
17507,2016-07,5973,5378,5378
17506,2016-07,5991,4494,4494
17505,2016-07,6665,6651,6651
17504,2016-07,5988,6615,5988
17503,2016-07,4608,4411,4608
17502,2016-07,5422,5974,5422
17501,2016-07,6137,6667,6137
17487,2016-07,6665,5422,6665
17527,2016-07,6667,4991,4991
17486,2016-07,6137,5995,6137
17484,2016-07,4411,6615,4411
17483,2016-07,4991,6667,6667
17481,2016-07,5378,4494,5378
17414,2016-07,4674,5034,4674
17413,2016-07,4674,5034,4674
17410,2016-07,5991,5378,5991
17409,2016-07,5991,5378,5991
17402,2016-07,4674,4559,4674
17604,2016-07,4674,6896,4674
17485,2016-07,5973,5991,5973
17528,2016-07,6667,4991,4991
17488,2016-07,5974,6651,6651
17562,2016-07,6137,5988,6137
17591,2016-07,6137,5973,6137
17529,2016-07,5973,4494,5973
17577,2016-07,5378,6137,6137
17576,2016-07,5378,6137,6137
17575,2016-07,5378,6137,5378
17574,2016-07,5973,4991,5973
17573,2016-07,5973,4991,5973
17561,2016-07,6137,5988,6137
17560,2016-07,6651,4991,4991
17559,2016-07,6651,4991,4991
17557,2016-07,4608,5973,5973
17558,2016-07,4608,5973,5973
17556,2016-07,4608,5973,4608
17548,2016-07,5378,6665,5378
17547,2016-07,5378,6665,5378
17544,2016-07,4411,5988,5988
17543,2016-07,4411,5988,5988
17542,2016-07,4411,5988,4411
17535,2016-07,6665,5422,6665
17534,2016-07,6665,5422,6665
17533,2016-07,6665,5422,5422
17530,2016-07,5973,4494,5973
19057,2016-08,6386,5973,5973
19060,2016-08,6211,6615,6211
19058,2016-08,5973,6386,5973
19061,2016-08,5974,5752,5752
19055,2016-08,7010,6673,7010
19098,2016-08,7175,5422,5422
19053,2016-08,6673,7010,7010
19052,2016-08,6615,6211,6615
19078,2016-08,5973,6290,5973
19039,2016-08,6665,4602,6665
19054,2016-08,5752,5974,5752
19079,2016-08,5973,6290,5973
19097,2016-08,7175,5422,7175
19085,2016-08,6978,7175,7175
19086,2016-08,6665,7175,6665
19087,2016-08,6665,7175,7175
