,Map,Team 1 ID,Team 2 ID,score_diff,winner
23834,Cobblestone,6134,4674,14,6134
23835,Overpass,6134,4674,7,6134
23850,Overpass,5158,4674,-12,4674
23852,Overpass,7157,4674,-11,4674
23858,Train,5158,7157,-9,7157
23859,Mirage,5158,7157,-13,7157
23860,Train,5996,7157,-12,7157
23861,Dust2,5996,7157,-4,7157
23882,Dust2,4674,7157,-14,7157
23883,Train,4674,7157,-4,7157
23884,Train,4674,7517,8,4674
23885,Overpass,4674,7517,2,4674
23888,Mirage,6134,7157,-4,7157
23889,Overpass,6134,7157,-7,7157
23890,Overpass,6667,5988,9,6667
23891,Mirage,6667,5988,-5,5988
23892,Train,6667,5988,5,6667
23901,Overpass,5988,7175,-3,7175
23902,Mirage,5988,7175,5,5988
23903,Nuke,5988,7175,6,5988
23904,Cobblestone,4494,7532,4,4494
23905,Cache,4494,7532,-2,7532
23906,Mirage,4494,7532,5,4494
23907,Cobblestone,6896,6902,6,6896
23908,Train,6896,6902,-11,6902
23909,Mirage,6896,6902,3,6896
23910,Cobblestone,7018,5995,8,7018
23911,Dust2,7018,5995,-2,5995
23912,Cobblestone,5310,4494,-7,4494
23913,Mirage,5310,4494,-9,4494
23916,Cache,4991,5995,12,4991
23917,Dust2,4991,5995,7,4991
23918,Cobblestone,4991,7144,7,4991
23919,Mirage,4991,7144,4,4991
23920,Mirage,6667,7489,14,6667
23921,Train,6667,7489,12,6667
23954,Cobblestone,4688,5991,3,4688
23955,Cache,4688,5991,-12,5991
23964,Mirage,7268,5378,-11,5378
23965,Cache,7268,5378,3,7268
23996,Cobblestone,5378,7217,3,5378
23997,Mirage,5378,7217,8,5378
24000,Mirage,7217,5991,-9,5991
24001,Cache,7217,5991,-7,5991
24016,Cobblestone,7175,4674,3,7175
24017,Overpass,5988,7532,5,5988
24018,Overpass,6094,7157,2,6094
24019,Dust2,4674,7169,11,4674
24020,Cobblestone,7175,7534,8,7175
24031,Dust2,6947,5991,-12,5991
24032,Mirage,6947,5991,-14,5991
24037,Mirage,5378,4688,7,5378
24038,Overpass,5378,4688,8,5378
24045,Cobblestone,7268,5991,-7,5991
24046,Train,7268,5991,-9,5991
24049,Cobblestone,5378,6947,8,5378
24050,Mirage,5378,6947,3,5378
24079,Nuke,5378,5991,9,5378
24080,Cache,5378,5991,-5,5991
24091,Cache,4674,7169,-2,7169
24092,Overpass,4674,7169,8,4674
24093,Cobblestone,4674,7169,2,4674
24096,Cache,5991,4863,7,5991
24097,Mirage,5991,4863,-8,4863
24098,Dust2,5991,4863,2,5991
24102,Nuke,7018,5378,-4,5378
24103,Cobblestone,7018,5378,-5,5378
24106,Mirage,7532,7157,4,7532
24107,Cache,7532,7157,10,7532
24112,Dust2,6094,7532,-9,7532
24113,Train,6094,7532,-2,7532
24114,Cobblestone,5378,7244,9,5378
24115,Cache,5378,7244,6,5378
24116,Mirage,7557,5974,10,7557
24117,Dust2,7557,5974,-7,5974
24118,Cobblestone,7557,5974,11,7557
24125,Cobblestone,6673,7105,3,6673
24126,Mirage,6673,7105,8,6673
24127,Cache,7010,5005,-4,5005
24128,Cobblestone,7010,5005,11,7010
24129,Train,7010,5005,-8,5005
24130,Cobblestone,5005,6301,2,5005
24131,Cache,5005,6301,7,5005
24132,Cobblestone,7557,7558,11,7557
24133,Mirage,7557,7558,12,7557
24134,Dust2,6290,5479,3,6290
24135,Train,6290,5479,12,6290
24136,Dust2,7010,7559,6,7010
24137,Cobblestone,7010,7559,14,7010
24140,Cache,5991,5929,-8,5929
24141,Cobblestone,5991,5929,3,5991
24142,Dust2,5991,5929,2,5991
24143,Cache,5988,4674,8,5988
24144,Nuke,5988,4674,6,5988
24145,Cobblestone,5378,5929,8,5378
24146,Nuke,5378,5929,10,5378
24147,Dust2,6134,5378,2,6134
24148,Mirage,6134,5378,11,6134
24149,Mirage,6211,6673,-2,6673
24150,Train,6211,6673,9,6211
24151,Cache,6211,6673,15,6211
24152,Cache,5988,7532,5,5988
24153,Train,5988,7532,5,5988
24154,Train,7175,7532,12,7175
24155,Dust2,7175,7532,-2,7532
24156,Cobblestone,7175,7532,-7,7532
24157,Dust2,6211,6242,13,6211
24158,Cobblestone,6211,6242,16,6211
24159,Train,6134,5991,-11,5991
24160,Dust2,6134,5991,-10,5991
24161,Train,5974,6174,6,5974
24162,Cache,5974,6174,2,5974
24163,Cobblestone,6290,5973,-8,5973
24164,Dust2,6290,5973,4,6290
24165,Cache,6290,5973,-2,5973
24166,Cache,5973,5550,4,5973
24167,Mirage,5973,5550,10,5973
24168,Overpass,7175,7565,13,7175
24174,Train,6902,6343,9,6902
